App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements
6105439,HDR,2/21/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed
6105441,HDR,2/21/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105432,HDR,2/21/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105415,HDR,2/21/2025,Denied,4/21/2025,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed
6105434,HDR,2/21/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105420,HDR,2/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105419,HDR,2/21/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed
6105403,HDR,2/21/2025,Pending Fitness Interview,4/9/2025,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105398,HDR,2/21/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable
6105442,HDR,2/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105433,HDR,2/21/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105412,HDR,2/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105407,HDR,2/21/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105402,HDR,2/21/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105428,HDR,2/21/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105457,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105450,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105453,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105461,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information
6105469,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed
6105463,HDR,2/22/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105468,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6105459,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6105466,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable
6105456,HDR,2/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105462,HDR,2/22/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105464,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105458,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105470,HDR,2/22/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105474,HDR,2/22/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105471,HDR,2/22/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105479,HDR,2/22/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105490,HDR,2/23/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Copy of DMV license needed
6105493,HDR,2/23/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105495,HDR,2/23/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105488,HDR,2/23/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed
6105492,HDR,2/23/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed
6105497,HDR,2/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105494,HDR,2/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105486,HDR,2/23/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed
6105498,HDR,2/23/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105484,HDR,2/23/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed
6105541,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6105506,HDR,2/24/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105542,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105545,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Fingerprints needed
6105558,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6105516,HDR,2/24/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105540,HDR,2/24/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105576,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105555,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105548,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable
6105587,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105520,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed
6105553,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105526,HDR,2/24/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105547,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup
6105503,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed
6105554,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105533,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information
6105582,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6105517,HDR,2/24/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105534,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105505,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed
6105556,HDR,2/24/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed
6105583,HDR,2/24/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105500,HDR,2/24/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105605,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105602,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105676,HDR,2/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105686,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105604,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105608,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable
6105687,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105689,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable
6105590,HDR,2/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105611,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105620,HDR,2/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105684,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105626,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105681,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable
6105598,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed
6105603,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105680,HDR,2/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105672,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable
6105674,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6105622,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed
6105597,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105625,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105596,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105683,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Not Applicable
6105589,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6105594,HDR,2/25/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable
6105599,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable
6105610,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable
6105675,HDR,2/25/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed
6105609,HDR,2/25/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105726,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105761,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105721,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105709,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed
6105722,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105705,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed
6105752,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed
6105693,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed
6105732,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105751,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable
6105738,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105706,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed
6105729,HDR,2/26/2025,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Copy of DMV license needed
6105728,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105725,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Fingerprints needed
6105697,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed
6105708,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105715,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105696,HDR,2/26/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105758,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105692,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105759,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed
6105710,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105762,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105702,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105760,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105700,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105694,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105757,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105724,HDR,2/26/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105711,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105720,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105698,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105731,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Not Applicable
6105736,HDR,2/26/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105701,HDR,2/26/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105787,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed
6105807,HDR,2/27/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105779,HDR,2/27/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105803,HDR,2/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105777,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105796,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed
6105764,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105791,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Not Applicable
6105801,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105804,HDR,2/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable
6105767,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105798,HDR,2/27/2025,Pending Fitness Interview,4/22/2025,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105790,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105785,HDR,2/27/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105781,HDR,2/27/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105773,HDR,2/27/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Fingerprints needed
6105808,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Complete,Fingerprints needed
6105789,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105795,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105793,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105802,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed
6105769,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable
6105765,HDR,2/27/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105823,HDR,2/28/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105829,HDR,2/28/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105857,HDR,2/28/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105842,HDR,2/28/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105848,HDR,2/28/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed
6105821,HDR,2/28/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105854,HDR,2/28/2025,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Needed,Not Applicable
6105830,HDR,2/28/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105811,HDR,2/28/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105843,HDR,2/28/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105814,HDR,2/28/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable
6105812,HDR,2/28/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105813,HDR,2/28/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105853,HDR,2/28/2025,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105863,HDR,3/1/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Not Applicable
6105892,HDR,3/1/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105881,HDR,3/1/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed
6105887,HDR,3/1/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105893,HDR,3/1/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105884,HDR,3/1/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105880,HDR,3/1/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105889,HDR,3/1/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed
6105867,HDR,3/1/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed
6105886,HDR,3/1/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed
6105878,HDR,3/1/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105879,HDR,3/1/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Not Applicable
6105872,HDR,3/1/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105866,HDR,3/1/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105905,HDR,3/2/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105908,HDR,3/2/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable
6105909,HDR,3/2/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105899,HDR,3/2/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105897,HDR,3/2/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable
6105903,HDR,3/2/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105898,HDR,3/2/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information
6105900,HDR,3/2/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105895,HDR,3/2/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed
6105904,HDR,3/2/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105971,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105980,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105921,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105951,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105919,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6106017,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,"Fingerprints, copy of DMV lic, other. Visit www.nyc.gov/tlcup"
6105965,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105916,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed
6105945,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Not Applicable
6105949,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable
6105923,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6106016,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed
6105929,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information
6106012,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105976,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6105942,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable
6105984,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable
6105987,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105968,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105983,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105981,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105936,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105953,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed; Copy of DMV license needed
6105927,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105943,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105967,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Not Applicable
6105955,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105964,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105975,HDR,3/3/2025,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable
6105973,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed
6105960,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable
6105954,HDR,3/3/2025,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed
6105948,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
6105912,HDR,3/3/2025,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed
