OBJECTID,workclass,permitclass,proposedworkdescription,permitclassmapped,applieddate,issueddate,estprojectcost,constcompletedofficial,censuslanduse,censuslandusecode,contractorcompanyname,contractorcity,countylocation,description,expiresdate,fee,housingunitstotal,issueddate_mth,issueddate_yr,jurisdiction_inout_ral,latitude_perm,longitude_perm,originalzip,proposeduse,recordupdatedate,statuscurrent,statuscurrentmapped,workclassmapped,CreationDate,EditDate,permitnum
268607,New Residential Dwelling,,"New Single Family Dwelling
North Hills Lot 17
Custom
DEMO 048728-2023 / FINAL: 1/29/2024
Sealed Craw",Residential,2024/06/13 15:55:14.550+00,2024/08/01 19:30:07.650+00,1125618.27,No, DETACHED SINGLE FAMILY DWELLING,101,"ALLURE HOMES, LLC",,,"New Single Family Dwelling
North Hills Lot 17
Custom
DEMO 048728-2023 / FINAL: 1/29/2024
Sealed Craw",2026/01/15 14:58:43+00,6232,,8,2024,Inside City Limits,35.84223191,-78.65197388,27609, DETACHED SINGLE FAMILY DWELLING,2025/01/15 14:58:55.063+00,Issued,Permit Issued,Existing,2024/06/15 11:06:13.679+00,2025/01/18 11:06:57.363+00,BLDR-029549-2024
268608,New Single Family Dwelling,,"For Rent ADU
Custom ADU
Albemarle Housing Lot 44
Stem Wall Foundation
Attached Breezeway
Garage port",Residential,2024/06/13 17:49:47.163+00,2024/09/04 20:16:45.870+00,93160.62,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"CONTR-STRUCTURE HOMES, INC.",,Wake,"For Rent ADU
Custom ADU
Albemarle Housing Lot 44
Stem Wall Foundation
Attached Breezeway
Garage port",2025/10/13 11:35:52+00,698,,9,2024,Inside City Limits,35.79364992,-78.6208159,27604, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/13 16:08:57.817+00,Issued,Permit Issued,New,2024/06/15 11:06:13.679+00,2024/11/16 11:06:43.282+00,BLDR-029577-2024
268609,New Residential Dwelling,,"New Single Family Dwelling---Infill applies---
Northwood Lot 4
Custom
DEMO 061579-2023 / FINAL: 5/31",Residential,2024/07/01 11:02:53+00,2024/08/21 13:23:31.133+00,800136.54,No, DETACHED SINGLE FAMILY DWELLING,101,EXETER BUILDING COMPANY,Raleigh,,"New Single Family Dwelling---Infill applies---
Northwood Lot 4
Custom
DEMO 061579-2023 / FINAL: 5/31",2025/10/14 12:16:50+00,4974,,8,2024,Inside City Limits,35.84782991,-78.64292439,27609, DETACHED SINGLE FAMILY DWELLING,2025/01/06 16:51:21.910+00,Issued,Permit Issued,Existing,2024/06/15 11:06:13.679+00,2025/01/09 11:06:20.638+00,BLDR-029415-2024
268610,Temporary Trailer,,Temporary trailer for office use only.,Non-Residential,2024/06/13 15:04:07+00,2024/07/29 18:16:54+00,20000,No,"	 MISCELLANEOUS SUCH AS FENCES",601,"Norsouth Construction Company of Georgia, Inc.",Savannah,Wake,Temporary trailer for office use only.,2025/08/06 10:04:08+00,356,,7,2024,Inside City Limits,35.74907293,-78.58922591,27610,"	 MISCELLANEOUS SUCH AS FENCES",2024/10/17 19:04:18+00,Issued,Permit Issued,New,2024/06/15 11:06:13.679+00,2024/10/20 11:06:04.894+00,BLDNR-029529-2024
268611,Townhouse,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",Residential,2024/06/13 16:16:08.253+00,2024/08/06 19:57:23.840+00,244655.46,No,"	 RESIDENTIAL TOWNHOUSE",102,"NVR, Inc., T/A; Ryan Homes and/or NVHomes",,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",2026/01/15 12:38:52+00,4472,,8,2024,Inside City Limits,35.71541293,-78.54220542,27610,"	 RESIDENTIAL TOWNHOUSE",2025/01/15 12:38:58.983+00,Issued,Permit Issued,New,2024/06/15 11:06:13.679+00,2025/01/18 11:06:57.363+00,BLDR-029565-2024
268614,Alteration/Repairs ,,"PONY- Go Media interior completion on third floor of existing office space. No plumbing work, no ext",Non-Residential,2024/06/13 11:24:27+00,2024/08/20 18:50:33.010+00,140194.71,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"Main Street Design Builders, LLC",Wake Forest,Wake,"PONY- Go Media interior completion on third floor of existing office space. No plumbing work, no ext",2025/12/19 16:11:55+00,703,,8,2024,Inside City Limits,35.9000749,-78.72579186,27613,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/12/19 16:12:16.400+00,Complete,Permit Finaled,Existing,2024/06/15 11:06:13.679+00,2024/12/22 11:06:50.841+00,BLDNR-029430-2024
268615,Alteration/Repairs ,,Demo existing stairs and replace with new fabricated stair system,Non-Residential,2024/06/13 11:37:15+00,2024/08/06 16:18:32.170+00,0,No,"	 MISCELLANEOUS SUCH AS FENCES",601,Danko Builders,Apex,Wake,Demo existing stairs and replace with new fabricated stair system,2026/01/02 12:34:06+00,176,,8,2024,Inside City Limits,35.8899139,-78.70320637,27607,"	 MISCELLANEOUS SUCH AS FENCES",2025/01/02 12:34:56.687+00,Complete,Permit Finaled,Existing,2024/06/15 11:06:13.679+00,2025/01/05 11:06:18.927+00,BLDNR-029437-2024
268616,New Single Family Dwelling,,"New Single Family Dwelling
Tucker Place Lot 9
Elevation B 
Monoslab
Rear Patio",Residential,2024/06/13 10:34:27.330+00,2024/07/30 16:45:39.343+00,400358.49,No, DETACHED SINGLE FAMILY DWELLING,101,KB Home Raleigh-Durham Inc.,Morrisville,,"New Single Family Dwelling
Tucker Place Lot 9
Elevation B 
Monoslab
Rear Patio",2025/12/18 12:57:39+00,6443,,7,2024,Inside City Limits,35.89876989,-78.51418842,27616, DETACHED SINGLE FAMILY DWELLING,2024/12/18 12:59:45.750+00,Complete,Permit Finaled,New,2024/06/15 11:06:13.679+00,2024/12/21 11:06:45.376+00,BLDR-029398-2024
268621,Alteration/Repairs ,,"New finishes, open exam room,STET 203 B OCC 2-B CONST 2560 SF",Non-Residential,2024/06/13 10:59:13+00,2024/08/01 16:52:44.340+00,259507.2,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,Shail Building Corporation,Cary,Wake,"New finishes, open exam room,STET 203 B OCC 2-B CONST 2560 SF",2025/11/03 14:43:26+00,812,,8,2024,Inside City Limits,35.95174388,-78.54661091,27614,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/11/19 11:54:33.083+00,Complete,Permit Finaled,Existing,2024/06/15 11:06:13.679+00,2024/11/22 11:06:40.762+00,BLDNR-029416-2024
268623,Alteration/Repairs ,,HSIPOP-126474-2024 Alteration to existing restaurant including equipment and PME,Non-Residential,2024/06/13 15:23:28+00,2024/09/10 20:26:05.893+00,134839.2,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"Lorient Homes, LLC",,Wake,HSIPOP-126474-2024 Alteration to existing restaurant including equipment and PME,2025/10/13 15:32:26+00,422,,9,2024,Inside City Limits,35.78954592,-78.67534688,27607,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/10/31 11:49:10.777+00,Issued,Permit Issued,Existing,2024/06/15 11:06:13.679+00,2024/11/03 11:06:25.239+00,BLDNR-029539-2024
268627,Accessory Structure,,12 x 16 Quonset hut 11 feet tall at the highest point. No electrical and no plumbing. Demolished old,Residential,2024/06/15 18:51:52+00,2024/07/26 17:03:45+00,11066.88,No,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",328,,,,12 x 16 Quonset hut 11 feet tall at the highest point. No electrical and no plumbing. Demolished old,2025/08/20 11:14:22+00,400,,7,2024,Inside City Limits,35.74642693,-78.6180709,27610,"	 SHEDS, BOATHOUSES, ACCESSORY BUILDINGS",2024/08/20 11:15:09+00,Issued,Permit Issued,New,2024/06/18 11:06:31.701+00,2024/08/23 11:06:06.724+00,BLDR-029760-2024
268628,Townhouse,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",Residential,2024/06/11 16:11:09.527+00,2024/08/07 18:56:45.017+00,275273.67,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",2025/12/19 15:07:56+00,4399,,8,2024,Inside City Limits,35.8410079,-78.52531692,27604,"	 RESIDENTIAL TOWNHOUSE",2024/12/19 15:08:03.477+00,Complete,Permit Finaled,New,2024/06/19 11:06:15.241+00,2024/12/22 11:06:50.841+00,BLDR-029633-2024
268629,Deck/Porch,,Remove old deck.  Build new 16' x 18 screen porch.,Residential,2024/06/17 07:57:50+00,2024/08/18 19:15:53+00,0,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,PROBUILT CONSTRUCTION,,,Remove old deck.  Build new 16' x 18 screen porch.,2025/09/11 14:43:41+00,331,,8,2024,Inside City Limits,35.9059429,-78.70908786,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/09/12 09:54:12+00,Complete,Permit Finaled,Existing,2024/06/19 11:06:15.241+00,2024/09/15 11:05:56.607+00,BLDR-029803-2024
268636,New Single Family Dwelling,,"New construction single family LOT 1 GEORGE S HARTMAN SUB
Demo Permit #013953-2024 Issue Date: 04/23",Residential,2024/06/17 15:36:54.173+00,2024/09/30 15:12:36.167+00,963385.29,No, DETACHED SINGLE FAMILY DWELLING,101,SHENANDOAH HOMES LLC,RALEIGH,,"New construction single family LOT 1 GEORGE S HARTMAN SUB
Demo Permit #013953-2024 Issue Date: 04/23",2025/12/03 13:26:08+00,5612,,9,2024,Inside City Limits,35.80824792,-78.68474288,27607, DETACHED SINGLE FAMILY DWELLING,2024/12/03 13:26:51.457+00,Issued,Permit Issued,New,2024/06/19 11:06:15.241+00,2024/12/06 11:06:12.977+00,BLDR-030041-2024
268637,Townhouse,,"NEW TH LOTS 84-88, SPR-0217-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029689-",Residential,2024/06/14 12:56:20.013+00,2024/10/25 13:04:44.897+00,269614.38,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 84-88, SPR-0217-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029689-",2026/01/13 10:51:36+00,4204,,10,2024,Inside City Limits,35.8407379,-78.52588842,27604,"	 RESIDENTIAL TOWNHOUSE",2025/01/13 10:51:44.810+00,Issued,Permit Issued,New,2024/06/19 11:06:15.241+00,2025/01/16 11:06:32.559+00,BLDR-029689-2024
268638,Townhouse,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",Residential,2024/06/11 16:11:09.527+00,2024/08/07 18:54:13.020+00,274403.01,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",2025/12/15 13:52:39+00,4395,,8,2024,Inside City Limits,35.8409989,-78.52537992,27604,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 10:50:13.113+00,Complete,Permit Finaled,New,2024/06/19 11:06:15.241+00,2024/12/19 11:06:33.175+00,BLDR-029632-2024
268639,Alteration/Repairs ,,Interior office alteration with minor exterior storefront renovation and one additional door in ware,Non-Residential,2024/06/17 15:15:09+00,2024/11/01 13:39:21.380+00,968254.4,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"CADE, INC.",,Wake,Interior office alteration with minor exterior storefront renovation and one additional door in ware,2025/12/12 13:47:42+00,2331,,11,2024,Inside City Limits,35.80835591,-78.6010249,27604,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/12/12 13:49:48.583+00,Issued,Permit Issued,Existing,2024/06/19 11:06:15.241+00,2024/12/15 11:06:15.888+00,BLDNR-030032-2024
268641,Addition,,"Additions in existing basement 
Full bathroom in an existing closet -- including vanity, toilet and ",Residential,2024/06/17 09:36:01.157+00,2024/08/01 01:23:24.467+00,6675.06,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,,,,"Additions in existing basement 
Full bathroom in an existing closet -- including vanity, toilet and ",2025/10/24 13:26:29+00,414,,8,2024,Inside City Limits,35.79001392,-78.67549538,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/10/24 13:26:49.323+00,Complete,Permit Finaled,New,2024/06/19 11:06:15.241+00,2024/10/27 11:06:12.518+00,BLDR-029851-2024
268646,Addition,,"We will be completing a unfinished Bonus room   we will be adding electrical ,hvac framing,drywall a",Residential,2024/07/01 17:50:59+00,2024/09/02 21:56:14+00,25684.47,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,S & J OF RALEIGH,Bunnlevel,,"We will be completing a unfinished Bonus room   we will be adding electrical ,hvac framing,drywall a",2025/09/25 13:24:46+00,420,,9,2024,Inside City Limits,35.83164791,-78.56095691,27604, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/09/25 13:25:04+00,Issued,Permit Issued,New,2024/06/19 11:06:15.241+00,2024/09/27 11:06:21.628+00,BLDR-030075-2024
268654,Interior Completion,,INTERIOR COMPLETION  SUITE 140 SRS DISTRIBUTION  35675 SF STORAGE & 2230 SF BUSINESS. BUILDING IS 1 ,Non-Residential,2024/07/05 11:38:33+00,2024/10/09 19:00:51.710+00,2168293.85,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,CLINE CONTRACTING,Raleigh,Wake,INTERIOR COMPLETION  SUITE 140 SRS DISTRIBUTION  35675 SF STORAGE & 2230 SF BUSINESS. BUILDING IS 1 ,2025/12/17 13:20:25+00,6446,,10,2024,Inside City Limits,35.72574493,-78.57203591,27529,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/12/18 13:25:26.877+00,Complete,Permit Finaled,Existing,2024/06/19 11:06:15.241+00,2024/12/21 11:06:45.376+00,BLDNR-029920-2024
268655,Alteration/Repairs ,,"Remove vertical roof flashing, gutters and downspouts, install new gutters, downspouts and coping.",Non-Residential,2024/06/17 11:13:46+00,2024/08/01 18:26:52.457+00,5327519,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,Interstate Roofing Co,Charlotte,Wake,"Remove vertical roof flashing, gutters and downspouts, install new gutters, downspouts and coping.",2025/11/19 12:35:00+00,4365,,8,2024,Inside City Limits,35.77551492,-78.56903441,27610,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/11/19 12:35:15.350+00,Complete,Permit Finaled,Existing,2024/06/19 11:06:15.241+00,2024/11/22 11:06:40.762+00,BLDNR-029906-2024
268657,Addition,,"Addition: Approximately 140 square feet
Addition at rear of dwelling to consist of kitchen and dinin",Residential,2024/06/14 15:23:00.620+00,2024/08/07 20:01:43.597+00,35553,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"TG Construction & Design, Inc.",Raleigh,,"Addition: Approximately 140 square feet
Addition at rear of dwelling to consist of kitchen and dinin",2025/12/10 15:13:52+00,577,,8,2024,Inside City Limits,35.85399491,-78.62905539,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/10 15:14:25.813+00,Issued,Permit Issued,New,2024/06/19 11:06:15.241+00,2024/12/13 11:07:17.017+00,BLDR-029733-2024
268659,Deck/Porch,,replace 12 x16 existing deck also add 16x12 ground level deck,Residential,2024/06/17 15:35:24+00,2024/07/29 15:05:50+00,13000,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Backyard Gurus,Wake Forest,,replace 12 x16 existing deck also add 16x12 ground level deck,2025/08/07 11:39:12+00,448,,7,2024,Inside City Limits,35.8554979,-78.62941539,27609, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/08/21 12:32:42+00,Issued,Permit Issued,Existing,2024/06/19 11:06:15.241+00,2024/08/24 11:05:59.389+00,BLDR-030039-2024
268660,New Single Family Dwelling,,New Duplex Construction,Residential,2024/06/14 16:24:57.443+00,2024/08/21 23:13:47.413+00,869789.34,No, TWO FAMILY BUILDING (DUPLEX),103,ABODE DESIGN-BUILD LLC,Raleigh,,New Duplex Construction,2025/12/04 11:04:11+00,10627,,8,2024,Inside City Limits,35.76547992,-78.62906889,27610, TWO FAMILY BUILDING (DUPLEX),2024/12/04 11:08:34.340+00,Issued,Permit Issued,New,2024/06/19 11:06:15.241+00,2024/12/07 11:06:37.262+00,BLDR-029752-2024
268662,Townhouse,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",Residential,2024/06/11 16:11:09.527+00,2024/08/07 19:00:08.323+00,272806.8,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",2025/12/15 13:52:48+00,4268,,8,2024,Inside City Limits,35.8410079,-78.52523142,27604,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 10:50:20.443+00,Complete,Permit Finaled,New,2024/06/19 11:06:15.241+00,2024/12/19 11:06:33.175+00,BLDR-029634-2024
268663,Addition,,Enclose existing Deck into a 3 seasoned sunroom without heat and extend deck ***** Inspector please ,Residential,2024/06/14 08:00:15.657+00,2024/08/06 12:51:56.890+00,17413.2,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"Widmar, Inc",Raleigh,,Enclose existing Deck into a 3 seasoned sunroom without heat and extend deck ***** Inspector please ,2026/01/12 10:08:13+00,1102,,8,2024,Inside City Limits,35.8853599,-78.73132686,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2025/01/10 10:08:24.633+00,Complete,Permit Finaled,New,2024/06/19 11:06:15.241+00,2025/01/13 14:05:28.729+00,BLDR-029585-2024
268664,Addition,,We are constructing a 14'x14' fully insulated addition off the rear of the house.,Residential,2024/06/14 12:05:49.063+00,2024/08/21 16:02:53.637+00,28441.56,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"Callus and Splinters, LLC",Raleigh,,We are constructing a 14'x14' fully insulated addition off the rear of the house.,2025/11/06 08:43:14+00,634,,8,2024,Inside City Limits,35.93958488,-78.56335541,27614, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/11/06 13:25:42.577+00,Issued,Permit Issued,New,2024/06/19 11:06:15.241+00,2024/11/09 11:06:35.387+00,BLDR-029675-2024
268665,New Residential Dwelling,,"New Single Family Dwelling
Olde Towne Lot 83
William Elite
Great Room Fireplace
Rear Screen Porch
Mo",Residential,2024/06/17 13:50:24.080+00,2024/07/29 12:25:48.210+00,608736.45,No, DETACHED SINGLE FAMILY DWELLING,101,Toll Brothers,Morrisville,,"New Single Family Dwelling
Olde Towne Lot 83
William Elite
Great Room Fireplace
Rear Screen Porch
Mo",2026/01/16 14:41:39+00,7845,,7,2024,Inside City Limits,35.74663393,-78.55687992,27610, DETACHED SINGLE FAMILY DWELLING,2025/01/16 14:41:58.557+00,Complete,Permit Finaled,Existing,2024/06/19 11:06:15.241+00,2025/01/19 11:06:06.756+00,BLDR-029993-2024
268666,Townhouse,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",Residential,2024/06/11 16:11:09.527+00,2024/08/07 18:51:31.270+00,269614.38,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 89-93, SPR-0122-2021, PROJECT CONSISTS OF 5 CASES 2 STORY R-3 OCC 5-B CONST
BLDR-029019-",2025/12/15 13:52:28+00,4369,,8,2024,Inside City Limits,35.8409989,-78.52545642,27604,"	 RESIDENTIAL TOWNHOUSE",2024/12/16 10:49:55.177+00,Complete,Permit Finaled,New,2024/06/19 11:06:15.241+00,2024/12/19 11:06:33.175+00,BLDR-029631-2024
268670,Alteration/Repairs ,,"Single-tenant,B OCC 20222 SF 2-A CONST  one floor level, interior tenant improvement. Existing to re",Non-Residential,2024/06/17 07:46:27+00,2024/08/13 12:09:23.360+00,2140296.48,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,"HITT CONTRACTING, INC.",Raleigh,Wake,"Single-tenant,B OCC 20222 SF 2-A CONST  one floor level, interior tenant improvement. Existing to re",2026/01/16 11:59:38+00,3606,,8,2024,Inside City Limits,35.83693091,-78.64404939,27609,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2025/01/16 12:01:16.773+00,Issued,Permit Issued,Existing,2024/06/19 11:06:15.241+00,2025/01/19 11:06:06.756+00,BLDNR-029800-2024
268675,Deck/Porch,,14x18 Deck build.,Residential,2024/06/17 16:01:53+00,2024/07/29 15:07:19+00,16000,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,Backyard Gurus,Wake Forest,,14x18 Deck build.,2025/08/05 13:08:25+00,331,,7,2024,Inside City Limits,35.72870593,-78.54942792,27613, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/08/07 09:00:33+00,Complete,Permit Finaled,Existing,2024/06/19 11:06:15.241+00,2024/08/10 11:06:01.239+00,BLDR-030052-2024
268683,Townhouse,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",Residential,2024/06/13 16:16:08.253+00,2024/08/06 20:02:07.257+00,244655.46,No,"	 RESIDENTIAL TOWNHOUSE",102,"NVR, Inc., T/A; Ryan Homes and/or NVHomes",,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",2025/11/26 14:05:03+00,4238,,8,2024,Inside City Limits,35.71522393,-78.54205692,27610,"	 RESIDENTIAL TOWNHOUSE",2024/11/26 14:05:10.867+00,Complete,Permit Finaled,New,2024/06/20 11:06:28.217+00,2024/11/29 11:07:04.287+00,BLDR-030239-2024
268684,Alteration/Repairs ,,"Alteration of Office Space in Existing Suite 120. 8,014 SF Alteration Level II, 4 Story with Basemen",Non-Residential,2024/06/14 15:28:19+00,2024/08/05 13:45:38.157+00,880738.6,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,EDGE BUILDING CONTRACTORS  INC &  Edge Building Se,Clayton,Wake,"Alteration of Office Space in Existing Suite 120. 8,014 SF Alteration Level II, 4 Story with Basemen",2025/10/09 14:13:23+00,2386,,8,2024,Inside City Limits,,,27612,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2024/10/10 10:37:12.563+00,Issued,Permit Issued,Existing,2024/06/20 11:06:28.217+00,2024/10/13 16:58:51.766+00,BLDNR-029742-2024
268685,Accessory Structure,,"24' treated pine octagon gazebo painted white w. black shingles, concrete floor and footers",Non-Residential,2024/06/18 13:59:14+00,2024/08/23 12:56:55.310+00,0,No,"	 MISCELLANEOUS SUCH AS FENCES",601,Pipeline Irrigation,Raleigh,Durham,"24' treated pine octagon gazebo painted white w. black shingles, concrete floor and footers",2025/10/08 15:25:56+00,412,,8,2024,Inside City Limits,,,27560,"	 MISCELLANEOUS SUCH AS FENCES",2024/10/08 15:29:27.333+00,Issued,Permit Issued,New,2024/06/20 11:06:28.217+00,2024/10/13 16:58:51.766+00,BLDNR-030258-2024
268687,Townhouse,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",Residential,2024/06/13 16:16:08.253+00,2024/08/06 20:01:57.007+00,244655.46,No,"	 RESIDENTIAL TOWNHOUSE",102,"NVR, Inc., T/A; Ryan Homes and/or NVHomes",,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",2025/11/26 14:06:39+00,4121,,8,2024,Inside City Limits,35.71516993,-78.54201642,27610,"	 RESIDENTIAL TOWNHOUSE",2024/11/26 14:07:09.573+00,Complete,Permit Finaled,New,2024/06/20 11:06:28.217+00,2024/11/29 11:07:04.287+00,BLDR-030240-2024
268688,Townhouse,,"NEW TH LOTS 79-83, SPR-0217-2021, PROJECT CONSISTS OF 5 CASES 2 STORY 5-B CONST R-3 OCC W/SHED
BLDR-",Residential,2024/06/18 12:00:04.423+00,2024/08/23 15:26:13.133+00,274548.12,No,"	 RESIDENTIAL TOWNHOUSE",102,"DRB Group - North Carolina, LLC",Durham,,"NEW TH LOTS 79-83, SPR-0217-2021, PROJECT CONSISTS OF 5 CASES 2 STORY 5-B CONST R-3 OCC W/SHED
BLDR-",2026/01/16 11:55:38+00,4279,,8,2024,Inside City Limits,35.8404139,-78.52598742,27604,"	 RESIDENTIAL TOWNHOUSE",2025/01/16 11:55:45.610+00,Complete,Permit Finaled,New,2024/06/20 11:06:28.217+00,2025/01/19 11:06:06.756+00,BLDR-030209-2024
268689,Townhouse,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",Residential,2024/06/13 16:16:08.253+00,2024/08/06 19:57:12.157+00,244655.46,No,"	 RESIDENTIAL TOWNHOUSE",102,"NVR, Inc., T/A; Ryan Homes and/or NVHomes",,,"NEW TH LOTS 205-200, SPR-0002-2022, PROJECT CONSISTS OF 6 CASES 2 STORY R-3 OCC 5-B CONST ALL POPULA",2025/11/20 13:14:44+00,4121,,8,2024,Inside City Limits,35.71368493,-78.54218292,27610,"	 RESIDENTIAL TOWNHOUSE",2024/11/20 13:14:59.640+00,Complete,Permit Finaled,New,2024/06/20 11:06:28.217+00,2024/11/23 11:06:56.222+00,BLDR-030236-2024
268692,Addition,,"Addition: Extending out the kitchen, adding 107 new square footage to existing. 

Alteration: Remode",Residential,2024/06/18 20:13:56.433+00,2024/08/22 15:57:06.517+00,38238.05,No, ADDITION/ALTERATION RESIDENTIAL BLDG,434,"BARROW BUILDING CO, L.L.C.",Raleigh,,"Addition: Extending out the kitchen, adding 107 new square footage to existing. 

Alteration: Remode",2025/12/10 14:19:04+00,430,,8,2024,Inside City Limits,35.80162392,-78.65222139,27608, ADDITION/ALTERATION RESIDENTIAL BLDG,2024/12/11 16:48:48.623+00,Issued,Permit Issued,New,2024/06/20 11:06:28.217+00,2024/12/14 11:06:17.737+00,BLDR-030325-2024
268699,Alteration/Repairs ,,"Jalwa Indian Cuisine - Alteration of existing restaurant as restaurant Hood existing  A-2 Occ, 2-B  ",Non-Residential,2024/06/18 10:51:26+00,2024/08/05 17:40:08.627+00,284595.27,No,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",437,J&S Remodeling LLC,Wendell,Wake,"Jalwa Indian Cuisine - Alteration of existing restaurant as restaurant Hood existing  A-2 Occ, 2-B  ",2026/01/14 09:37:27+00,3093,,8,2024,Inside City Limits,35.8661629,-78.61835439,27609,"	 ADDITION/ALTERATION NONRESIDENTIAL BLDG",2025/01/16 14:38:55.337+00,Issued,Permit Issued,Existing,2024/06/20 11:06:28.217+00,2025/01/19 11:06:06.756+00,BLDNR-030180-2024
