Family,Binomial,TBL cm,Weight gr,DL mm,Pupil,Dentition,Toxicity & Dangerousness,Reproduction,Common Name
Colubridae,Taeniophallus nicagus,45,,,roundish,rear-fanged,unclear toxicity,,Northern Leaf litter Snake
Colubridae,Tantalophis discolor,62,,,vertical slit,rear-fanged,unclear toxicity,,Oaxacan Cat eyed Snake
Colubridae,Tantilla albiceps,21,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Barbour's Centipede Snake
Colubridae,Tantilla alticola,33,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Boulenger's Centipede Snake
Colubridae,Tantilla andinista,29,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Andes Centipede Snake
Colubridae,Tantilla armillata,,,,,rear-fanged,venomous bite – unknown dangerousness,,Schwarznacken Schwarzkopfschlange
Colubridae,Tantilla atriceps,25,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Mexican Blackhead Snake
Colubridae,Tantilla bairdi,33,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Baird's Black headed Snake
Colubridae,Tantilla berguidoi,,,,,rear-fanged,venomous bite – unknown dangerousness,,Chucantí Centipede Snake
Colubridae,Tantilla bocourti,45,,,,rear-fanged,venomous bite – unknown dangerousness,,Bocourt's Black headed Snake
Colubridae,Tantilla boipiranga,38,,,,rear-fanged,venomous bite – unknown dangerousness,,Sierra do Cipo Snake
Colubridae,Tantilla brevicauda,17,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Mertens' Centipede Snake
Colubridae,Tantilla briggsi,30,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Briggs' Centipede Snake
Colubridae,Tantilla calamarina,20,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Pacific Coast Centipede Snake
Colubridae,Tantilla capistrata,40,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Capistrata Centipede Snake
Colubridae,Tantilla carolina,,,,,,,,
Colubridae,Tantilla cascadae,14,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Michoacán Centipede Snake
Colubridae,Tantilla ceboruca,,,,,rear-fanged,venomous bite – unknown dangerousness,,Ceboruco Centipede Snake
Colubridae,Tantilla coronadoi,18,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Guerreran Centipede Snake
Colubridae,Tantilla coronata,33,2.5,,,rear-fanged,venomous bite – unknown dangerousness,,Southeastern Crowned Snake
Colubridae,Tantilla cucullata,55,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Big Bend Blackhead Snake
Colubridae,Tantilla cuniculator,22,,,"indiscernible,roundish",rear-fanged,venomous bite – unknown dangerousness,,Peten Centipede Snake
Colubridae,Tantilla deppei,27,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Deppe's Centipede Snake
Colubridae,Tantilla excelsa,,,,,rear-fanged,venomous bite – harmless to humans,,
Colubridae,Tantilla flavilineata,29,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Yellow lined Centipede Snake
Colubridae,Tantilla gottei,,,,,rear-fanged,venomous bite – unknown dangerousness,,
Colubridae,Tantilla gracilis,25,1.6,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Flathead Snake
Colubridae,Tantilla hendersoni,27,,,,rear-fanged,venomous bite – unknown dangerousness,,Peten Centipede Snake
Colubridae,Tantilla hobartsmithi,37,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Southwestern Blackhead Snake
Colubridae,Tantilla impensa,73,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Greater Centipede Snake
Colubridae,Tantilla insulamontana,40,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Mountain Centipede Snake
Colubridae,Tantilla jani,25,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Jan's Centipede Snake
Colubridae,Tantilla johnsoni,34,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Johnson’s Centipede Snake
Colubridae,Tantilla lempira,26,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Mena's Centipede Snake
Colubridae,Tantilla lydia,,,,,,,,
Colubridae,Tantilla melanocephala,49,7,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Equator Centipede Snake
Colubridae,Tantilla miyatai,38,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Culebra de Pichincha
Colubridae,Tantilla moesta,59,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Blackbelly Centipede Snake
Colubridae,Tantilla nigra,17,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Black Centipede Snake
Colubridae,Tantilla nigriceps,42.3,10,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Plains Blackhead Snake
Colubridae,Tantilla oaxacae,27,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Oaxacan Centipede Snake
Colubridae,Tantilla olympia,,,,,rear-fanged,venomous bite – unknown dangerousness,,Northern Honduras centipede snake
Colubridae,Tantilla oolitica,29,,,,rear-fanged,venomous bite – unknown dangerousness,,Rim Rock Crowned Snake
Colubridae,Tantilla petersi,44,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Peters' Black headed Snake
Colubridae,Tantilla planiceps,40,,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,Western Blackhead Snake
Colubridae,Tantilla psittaca,,,,,rear-fanged,venomous bite – unknown dangerousness,,Serpiente grande de Honduras
Colubridae,Tantilla relicta,24,,,,rear-fanged,venomous bite – unknown dangerousness,,Florida Crowned Snake
Colubridae,Tantilla reticulata,32,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Reticulate Centipede Snake
Colubridae,Tantilla robusta,43,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Pueblan Centipede Snake
Colubridae,Tantilla rubra,55,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Red Black headed Snake
Colubridae,Tantilla ruficeps,,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Striped crowned snake
Colubridae,Tantilla schistosa,29,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Red Earth Centipede Snake
Colubridae,Tantilla selmae,,,,roundish,,,,
Colubridae,Tantilla semicincta,60,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Ringed Centipede Snake
Colubridae,Tantilla sertula,15,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Garland Centipede Snake
Colubridae,Tantilla shawi,69,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Potosí Centipede Snake
Colubridae,Tantilla slavensi,35,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Slavens' Centipede Snake
Colubridae,Tantilla stenigrammi,,,,,rear-fanged,venomous bite – unknown dangerousness,,
Colubridae,Tantilla striata,22,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Striped Centipede Snake
Colubridae,Tantilla supracincta,56,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Banded Centipede Snake
Colubridae,Tantilla taeniata,42,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Central American Centipede Snake
Colubridae,Tantilla tayrae,36,,,,rear-fanged,venomous bite – unknown dangerousness,,Volcan Tacana Centipede Snake
Colubridae,Tantilla tecta,22,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,White Striped Centipede Snake
Colubridae,Tantilla tjiasmantoi,,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Tjiasmanto's centipede snake
Colubridae,Tantilla trilineata,25,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Three lined Centipede Snake
Colubridae,Tantilla triseriata,20,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Three lined Centipede Snake
Colubridae,Tantilla tritaeniata,40,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Three banded Centipede Snake
Colubridae,Tantilla vermiformis,16,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Hallowell's Centipede Snake
Colubridae,Tantilla vulcani,25,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Vulcan Centipede Snake
Colubridae,Tantilla wilcoxi,36,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Chihuahuan Blackhead Snake
Colubridae,Tantilla yaquia,33,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Yaquia Blackhead Snake
Colubridae,Tantillita brevissima,20,,,roundish,rear-fanged,unclear toxicity,,Speckled Dwarf Short tail Snake
Colubridae,Tantillita canula,17,,,roundish,rear-fanged,unclear toxicity,,Yucatecan Dwarf Short tail Snake
Colubridae,Tantillita lintoni,20,,,roundish,rear-fanged,unclear toxicity,,Linton's Dwarf Short tail Snake
Colubridae,Telescopus beetzi,67,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Beetz's tiger snake
Colubridae,Telescopus dhara,196,82,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,oviparous,Israeli Catsnake
Colubridae,Telescopus fallax,108,33.2,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,European Catsnake
Colubridae,Telescopus finkeldeyi,,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Damara Tiger Snake
Colubridae,Telescopus gezirae,50,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Blue Nile Cat Snake
Colubridae,Telescopus hoogstraali,122,74.6,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Hoogstraal's Cat Snake
Colubridae,Telescopus nigriceps,60,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Black Headed Snake
Colubridae,Telescopus obtusus,190,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Egyptian Catsnake
Colubridae,Telescopus pulcher,,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Beautiful Cat Snake
Colubridae,Telescopus rhinopoma,160,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Indian Desert Tiger Snake
Colubridae,Telescopus semiannulatus,105,9.5,,vertical slit,rear-fanged,venomous bite – potentially dangerous,,Tiger Cat Snake
Colubridae,Telescopus tessellatus,105,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Soosan Tiger Snake
Colubridae,Telescopus tripolitanus,190,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,North African Cat Snake
Colubridae,Telescopus variegatus,90,,,vertical slit,rear-fanged,venomous bite – unknown dangerousness,,Variable Cat Snake
Uropeltidae,Teretrurus hewstoni,,,,,,,,
Uropeltidae,Teretrurus rhodogaster,,,,,non-fanged,non-venomous,,Palni Mountain Burrowing Snake
Uropeltidae,Teretrurus sanguineus,22,,,,non-fanged,non-venomous,,purple red earth snake
Uropeltidae,Teretrurus travancoricus,,,,,,,,
Leptotyphlopidae,Tetracheilostoma bilineatum,,,,vestigial eyes,non-fanged,non-venomous,,Two lined Blind Snake
Leptotyphlopidae,Tetracheilostoma breuili,11.9,0.6,,vestigial eyes,non-fanged,non-venomous,,St. Lucia thread snake
Leptotyphlopidae,Tetracheilostoma carlae,9.9,0.6,,vestigial eyes,non-fanged,non-venomous,,Barbados thread snake
Colubridae,Tetralepis fruhstorferi,50,,,roundish,rear-fanged,unclear toxicity,,Bluebelly Java Snake
Colubridae,Thamnodynastes longicauda,,,,,rear-fanged,unclear toxicity,,Long tailed Mock Viper
Colubridae,Thamnodynastes pallidus,80,53,,vertical slit,rear-fanged,unclear toxicity,,Amazon Coastal House Snake
Colubridae,Thamnodynastes sertanejo,93,,,,rear-fanged,unclear toxicity,,Sertao Mock Viper
Colubridae,Thamnodynastes silvai,,,,vertical slit,,,,
Colubridae,Thamnophis atratus,102,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Santa Cruz Garter Snake
Colubridae,Thamnophis bogerti,,,,,rear-fanged,venomous bite – unknown dangerousness,,Bogert's Garter Snake
Colubridae,Thamnophis brachystoma,56,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Shorthead Garter Snake
Colubridae,Thamnophis butleri,74,24.8,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Butler's Garter Snake
Colubridae,Thamnophis chrysocephalus,69,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Goldenhead Garter Snake
Colubridae,Thamnophis conanti,,,,,rear-fanged,venomous bite – unknown dangerousness,,Conant's Garter Snake
Colubridae,Thamnophis copei,31,,,roundish,rear-fanged,unclear toxicity,,Cope's Mountain Meadow Snake
Colubridae,Thamnophis couchii,125,61,,roundish,rear-fanged,venomous bite – potentially dangerous,,Sierra Garter Snake
Colubridae,Thamnophis cyrtopsis,114,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Blackneck Garter Snake
Colubridae,Thamnophis elegans,107,167.9,,roundish,rear-fanged,venomous bite – potentially dangerous,viviparous,Western Terrestrial Garter Snake
Colubridae,Thamnophis eques,112,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Mexican Garter Snake
Colubridae,Thamnophis errans,,,,,rear-fanged,venomous bite – unknown dangerousness,,Mexican wandering garter snake
Colubridae,Thamnophis exsul,43,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Montane Garter Snake
Colubridae,Thamnophis foxi,43,,,roundish,rear-fanged,unclear toxicity,,Fox's Mountain Meadow Snake
Colubridae,Thamnophis fulvus,65,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Highland Garter Snake
Colubridae,Thamnophis gigas,165,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Giant Garter Snake
Colubridae,Thamnophis godmani,70,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Godman's Garter Snake
Colubridae,Thamnophis hammondii,90,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Two striped Garter Snake
Colubridae,Thamnophis lineri,,,,,rear-fanged,venomous bite – unknown dangerousness,,Liner's Garter Snake
Colubridae,Thamnophis marcianus,109,90,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Checkered Garter Snake
Colubridae,Thamnophis melanogaster,86,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Blackbelly Garter Snake
Colubridae,Thamnophis mendax,71,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Tamaulipan Montane Garter Snake
Colubridae,Thamnophis nigronuchalis,,,,,rear-fanged,venomous bite – unknown dangerousness,,Southern Durango Spotted Garter Snake
Colubridae,Thamnophis ordinoides,97,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Northwestern Garter Snake
Colubridae,Thamnophis postremus,,,,,rear-fanged,venomous bite – unknown dangerousness,,Tepalcatepec Valley Garter Snake
Colubridae,Thamnophis proximus,123,58.9,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Western Ribbon Snake
Colubridae,Thamnophis pulchrilatus,,,,,rear-fanged,venomous bite – unknown dangerousness,,Yellow throated gartersnake
Colubridae,Thamnophis radix,109,50.9,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Plains Gartersnake
Colubridae,Thamnophis rossmani,90,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Rossman's Garter Snake
Colubridae,Thamnophis rufipunctatus,112,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Narrowhead Garter Snake
Colubridae,Thamnophis saurita,102,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Eastern ribbon snake
Colubridae,Thamnophis scalaris,81,42,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Longtail Alpine Garter Snake
Colubridae,Thamnophis scaliger,57,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Short tail Alpine Garter Snake
Colubridae,Thamnophis sirtalis,138,104.2,,roundish,rear-fanged,venomous bite – potentially dangerous,,Common Garter Snake
Colubridae,Thamnophis sumichrasti,76,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Sumichrast's Garter Snake
Colubridae,Thamnophis unilabialis,,,,,rear-fanged,venomous bite – unknown dangerousness,,Madrean narrowheaded garter snake
Colubridae,Thamnophis validus,96,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,West Coast Garter Snake
Pseudoxyrhophiidae,Thamnosophis epistibes,92,,,roundish,non-fanged,unclear toxicity,,Eastern Madagascar Water Snake
Pseudoxyrhophiidae,Thamnosophis infrasignatus,92,,,roundish,non-fanged,unclear toxicity,,Ankafina Water Snake
Pseudoxyrhophiidae,Thamnosophis lateralis,83,,,roundish,non-fanged,unclear toxicity,,Lateral Water Snake
Pseudoxyrhophiidae,Thamnosophis martae,85,,,roundish,non-fanged,unclear toxicity,,Antsiranana Water Snake
Pseudoxyrhophiidae,Thamnosophis mavotenda,,,,,non-fanged,unclear toxicity,,Yellow throated Water Snake
Pseudoxyrhophiidae,Thamnosophis stumpffi,71,,,roundish,non-fanged,unclear toxicity,,Yellow striped Water Snake
Colubridae,Thelotornis capensis,168,78.8,,horizontal keyhole,rear-fanged,venomous bite – very dangerous,oviparous,Southern twig snake
Colubridae,Thelotornis kirtlandii,171,69,,horizontal keyhole,rear-fanged,venomous bite – very dangerous,oviparous,Northern twig snake
Colubridae,Thelotornis mossambicanus,144,,,horizontal keyhole,rear-fanged,venomous bite – very dangerous,,Mozambique Vine Snake
Colubridae,Thelotornis usambaricus,128,,,horizontal keyhole,rear-fanged,venomous bite – very dangerous,,Usambara vine snake
Colubridae,Thermophis baileyi,95,,,roundish,rear-fanged,unclear toxicity,,Xizang Hot spring Keel back
Colubridae,Thermophis shangrila,,,,,rear-fanged,unclear toxicity,,Shangri-La hot spring snake
Colubridae,Thermophis zhaoermii,,,,,rear-fanged,unclear toxicity,,Sichuan Hot spring Keel back
Colubridae,Thrasops flavigularis,240,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Yellow throated Bold eyed Tree snake
Colubridae,Thrasops jacksonii,226,,,roundish,rear-fanged,venomous bite – unknown dangerousness,oviparous,Black Tree Snake
Colubridae,Thrasops occidentalis,245,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Western Black Tree Snake
Colubridae,Thrasops schmidti,,,,roundish,rear-fanged,venomous bite – unknown dangerousness,,Schmidt’s bold eyed Tree Snake
Colubridae,Tomodon dorsatus,60,,,roundish,rear-fanged,unclear toxicity,,Pampas Snake
Elapidae,Toxicocalamus atratus,,,,roundish,,,,
Elapidae,Toxicocalamus buergersi,36.5,,,,front-fanged,venomous bite – very dangerous,,Buerger’s forest snake
Elapidae,Toxicocalamus cratermontanus,,,,,front-fanged,venomous bite – very dangerous,,
Elapidae,Toxicocalamus ernstmayri,120,,,,front-fanged,venomous bite – very dangerous,,Star Mountains Worm Eating Snake
Elapidae,Toxicocalamus goodenoughensis,,,,,,,,
Elapidae,Toxicocalamus grandis,98,,,,front-fanged,venomous bite – very dangerous,,Setekwa River forest snake
Elapidae,Toxicocalamus holopelturus,62,,,,front-fanged,venomous bite – very dangerous,,Mount Rossel forest snake
Elapidae,Toxicocalamus lamingtoni,,,,roundish,,,,
Elapidae,Toxicocalamus loennbergii,,,,roundish,,,,
Elapidae,Toxicocalamus longhagen,,,,roundish,,,,
Elapidae,Toxicocalamus longissimus,65,,,roundish,front-fanged,venomous bite – very dangerous,,Fergusson Island forest snake
Elapidae,Toxicocalamus loriae,69,,,roundish,front-fanged,venomous bite – very dangerous,,Loria forest snake
Elapidae,Toxicocalamus mattisoni,,,,indiscernible,,,,
Elapidae,Toxicocalamus mintoni,,,,,front-fanged,venomous bite – very dangerous,,Minton's forest snake
Elapidae,Toxicocalamus misimae,47,,,,front-fanged,venomous bite – very dangerous,,Misima Island forest snake
Elapidae,Toxicocalamus nigrescens,,,,,front-fanged,venomous bite – very dangerous,,
Elapidae,Toxicocalamus nymani,,,,roundish,,,,
Elapidae,Toxicocalamus pachysomus,,,,,front-fanged,venomous bite – very dangerous,,Fat forest snake
Elapidae,Toxicocalamus preussi,77,,,,front-fanged,venomous bite – very dangerous,,Preuss’s forest snake
Elapidae,Toxicocalamus pumehanae,,,,,,,,
Elapidae,Toxicocalamus spilolepidotus,78,,,,front-fanged,venomous bite – very dangerous,,Spotted forest snake
Elapidae,Toxicocalamus spilorhynchus,,,,roundish,,,,
Elapidae,Toxicocalamus stanleyanus,61,,,,front-fanged,venomous bite – very dangerous,,Owen Stanley Range forest snake
Elapidae,Toxicocalamus vertebralis,,,,roundish,,,,
Colubridae,Toxicodryas adamanteus,,,,vertical slit,,,,
Colubridae,Toxicodryas blandingii,279,,,vertical slit,rear-fanged,venomous bite – potentially dangerous,oviparous,Blandings Tree Snake
Colubridae,Toxicodryas pulverulenta,125,,,vertical slit,rear-fanged,venomous bite – potentially dangerous,oviparous,Fischer's Cat Snake
Colubridae,Toxicodryas vexator,,,,vertical slit,,,,
Colubridae,Trachischium apteii,,,,,,,,
Colubridae,Trachischium fuscum,70,,,roundish,rear-fanged,unclear toxicity,,Blackbelly Worm eating Snake
Colubridae,Trachischium guentheri,50,,,roundish,rear-fanged,unclear toxicity,,Rosebelly Worm eating Snake
Colubridae,Trachischium laeve,57,,,,rear-fanged,unclear toxicity,,Olive Oriental Slender Snake
Colubridae,Trachischium monticola,70,,,,rear-fanged,unclear toxicity,,Mountain Worm eating Snake
Colubridae,Trachischium sushantai,,,,,rear-fanged,unclear toxicity,,
Colubridae,Trachischium tenuiceps,40,,,,rear-fanged,unclear toxicity,,Yellowbelly Worm eating Snake
Tropidophiidae,Trachyboa boulengeri,50,,,vertical slit,non-fanged,non-venomous,,Northern Eyelash Boa
Tropidophiidae,Trachyboa gularis,,,,vertical slit,non-fanged,non-venomous,,Southern Eyelash Boa
Colubridae,Tretanorhinus mocquardi,108,,,roundish,rear-fanged,unclear toxicity,,Mocquard's Swamp Snake
Colubridae,Tretanorhinus nigroluteus,89,,,roundish,rear-fanged,unclear toxicity,,Orangebelly Swamp Snake
Colubridae,Tretanorhinus taeniatus,77,,,roundish,rear-fanged,unclear toxicity,,Striped Swamp Snake
Colubridae,Tretanorhinus variabilis,115,,,roundish,rear-fanged,unclear toxicity,,Caribbean Water Snake
Leptotyphlopidae,Tricheilostoma bicolor,,,,vestigial eyes,non-fanged,non-venomous,,Two colored Blind Snake
Leptotyphlopidae,Tricheilostoma broadleyi,,,,vestigial eyes,non-fanged,non-venomous,,Broadley's blind snake
Leptotyphlopidae,Tricheilostoma dissimilis,,,,vestigial eyes,non-fanged,non-venomous,,Sudan Blind Snake
Leptotyphlopidae,Tricheilostoma greenwelli,,,,vestigial eyes,non-fanged,non-venomous,,Greenwell's blind snake
Leptotyphlopidae,Tricheilostoma kongoensis,,,,vestigial eyes,,,,
Leptotyphlopidae,Tricheilostoma sundewalli,,,,vestigial eyes,non-fanged,non-venomous,,Sundevalls Worm Snake
Leptotyphlopidae,Trilepida acutirostris,,,,vestigial eyes,non-fanged,non-venomous,,Pointed snout blind snake
Leptotyphlopidae,Trilepida affinis,,,,vestigial eyes,non-fanged,non-venomous,,Venezuela Blind Snake
Leptotyphlopidae,Trilepida anthracina,,,,vestigial eyes,non-fanged,non-venomous,,Bailey's Blind Snake
Leptotyphlopidae,Trilepida brasiliensis,23.7,,,vestigial eyes,non-fanged,non-venomous,,Brazilian Blind Snake
Leptotyphlopidae,Trilepida brevissima,,,,vestigial eyes,non-fanged,non-venomous,,Caqueta Blind Snake
Leptotyphlopidae,Trilepida dimidiata,,,,vestigial eyes,non-fanged,non-venomous,,Dainty Blind Snake
Leptotyphlopidae,Trilepida dugandi,,,,vestigial eyes,non-fanged,non-venomous,,Dugand's Blind Snake
Leptotyphlopidae,Trilepida fuliginosa,,,,vestigial eyes,non-fanged,non-venomous,,Brown blind snake
Leptotyphlopidae,Trilepida jani,,,,vestigial eyes,non-fanged,non-venomous,,Jan's pallid blind snake
Leptotyphlopidae,Trilepida joshuai,,,,vestigial eyes,non-fanged,non-venomous,,Joshua's Blind Snake
Leptotyphlopidae,Trilepida koppesi,,,,vestigial eyes,non-fanged,non-venomous,,Amaral's Blind Snake
Leptotyphlopidae,Trilepida macrolepis,,,,vestigial eyes,non-fanged,non-venomous,,Big scaled Blind Snake
Leptotyphlopidae,Trilepida nicefori,,,,vestigial eyes,non-fanged,non-venomous,,Santander Blind Snake
Leptotyphlopidae,Trilepida pastusa,,,,vestigial eyes,non-fanged,non-venomous,,Pastuso thread snake
Leptotyphlopidae,Trilepida salgueiroi,35.1,,,vestigial eyes,non-fanged,non-venomous,,Espiritú Santo Blind Snake
Viperidae,Trimeresurus albolabris,104,,,,front-fanged,venomous bite – dangerous,ovoviviparous,white lipped pitviper
Viperidae,Trimeresurus andersonii,110,,,,front-fanged,venomous bite – dangerous,,Anderson’s pitviper
Viperidae,Trimeresurus arunachalensis,,,,,,,,
Viperidae,Trimeresurus ayeyarwadyensis,,,,,,,,
Viperidae,Trimeresurus calamitas,,,,,,,,
Viperidae,Trimeresurus cantori,115,,,,front-fanged,venomous bite – dangerous,,Cantor's pitviper
Viperidae,Trimeresurus cardamomensis,50,,,,front-fanged,venomous bite – dangerous,,Cardamom Mountains green pitviper
Viperidae,Trimeresurus caudornatus,,,,,,,,
Viperidae,Trimeresurus ciliaris,,,,vertical slit,,,,
Viperidae,Trimeresurus davidi,,,,,,,,
Viperidae,Trimeresurus erythrurus,140,,,,front-fanged,venomous bite – dangerous,,red tailed bamboo pitviper
Viperidae,Trimeresurus fasciatus,54,,,vertical slit,front-fanged,venomous bite – dangerous,,Banded pitviper
Viperidae,Trimeresurus flavomaculatus,95,,,,front-fanged,venomous bite – dangerous,,Philippine pitviper
Viperidae,Trimeresurus gracilis,75,34.5,,,front-fanged,venomous bite – dangerous,,Taiwan mountain pitviper
Viperidae,Trimeresurus gumprechti,130,,,,front-fanged,venomous bite – dangerous,,Gumprecht's green pitviper
Viperidae,Trimeresurus gunaleni,115.4,,,,front-fanged,venomous bite – dangerous,,Gunalen’s pitviper
Viperidae,Trimeresurus guoi,,,,,,,,
Viperidae,Trimeresurus hageni,140,,,,front-fanged,venomous bite – dangerous,oviparous,Hagen's pitviper
Viperidae,Trimeresurus honsonensis,64.8,,,,front-fanged,venomous bite – dangerous,,Hon Son pitviper
Viperidae,Trimeresurus insularis,81,,,vertical slit,front-fanged,venomous bite – dangerous,,White lipped island pitviper
Viperidae,Trimeresurus kanburiensis,75,,,,front-fanged,venomous bite – dangerous,ovoviviparous,Kanburi pitviper
Viperidae,Trimeresurus kirscheyi,,,,,,,,
Viperidae,Trimeresurus kuiburi,,,,vertical slit,,,,
Viperidae,Trimeresurus labialis,65,,,,front-fanged,venomous bite – dangerous,,Nicobar bamboo pitviper
Viperidae,Trimeresurus macrops,75,,,,front-fanged,venomous bite – dangerous,ovoviviparous,large eyed pitviper
Viperidae,Trimeresurus malcolmi,133,,,,front-fanged,venomous bite – dangerous,,Kinabalu Green Pit viper
Viperidae,Trimeresurus mayaae,,,,,,,,
Viperidae,Trimeresurus mcgregori,97,,,,front-fanged,venomous bite – dangerous,,Philippine pitviper
Viperidae,Trimeresurus medoensis,75,,,,front-fanged,venomous bite – dangerous,,Motuo bamboo pitviper
Viperidae,Trimeresurus mutabilis,,,,,front-fanged,venomous bite – dangerous,,Central Nicobar Pit Viper
Viperidae,Trimeresurus nebularis,100,,,,front-fanged,venomous bite – dangerous,,Cameron Highlands pitviper
Viperidae,Trimeresurus phuketensis,75,,,,front-fanged,venomous bite – dangerous,,Phuket Pit viper
Viperidae,Trimeresurus popeiorum,97.5,,7,vertical slit,front-fanged,venomous bite – dangerous,ovoviviparous,Pope's bamboo pitviper
Viperidae,Trimeresurus purpureomaculatus,107,,,,front-fanged,venomous bite – dangerous,ovoviviparous,mangrove pitviper
Viperidae,Trimeresurus rubeus,50,,,,front-fanged,venomous bite – dangerous,,Ruby eyed Green Pit viper
Viperidae,Trimeresurus sabahi,88,,,,front-fanged,venomous bite – dangerous,,Sabah bamboo pitviper
Viperidae,Trimeresurus salazar,,,,vertical slit,,,,
Viperidae,Trimeresurus schultzei,130,,,,front-fanged,venomous bite – dangerous,,Trimeresurus schultzei
Viperidae,Trimeresurus septentrionalis,75,,,,front-fanged,venomous bite – dangerous,,Nepal pitviper
