"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count (estimate)","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"Datadog","DDOG","$148.40","$50,415,000,000","Sep 2024","$690,020,000","$2,760,080,000","26.02%","18.27","339,723,720","2019","2010","Olivier Pomel, Alexis Lê-Quôc","New York City, New York, United States","$34,170,000","$136,680,000","363.07%","4.95%","$51,700,000","$206,800,000","128.44%","7.49%","$3,200,000,000","36.61%","Index Ventures, ICONIQ Capital","$148.7 million.","4960","$556,500","Monitoring and analytics for website and app infrastructure, applications, and web logs.","","","http://www.datadoghq.com","http://investors.datadoghq.com","https://www.sec.gov/Archives/edgar/data/1561550/000119312519227783/d745413ds1.htm","https://www.sec.gov/Archives/edgar/data/1561550/000156155024000009/ddog-20231231.htm"
"Descartes Systems","DSGX","$115.73","$14,239,000,000","Oct 2024","$168,760,000","$675,040,000","16.63%","21.09","123,036,378","1999","1981","Edward J. Ryan","Waterloo, Ontario, Canada","$66,530,000","$266,120,000","13.17%","39.42%","$36,560,000","$146,240,000","37.43%","21.66%","$181,280,000","-35.17%","Wellington Management Company, Fidelity Investments","$20 million","1320","$511,400","Logistics and supply chain management solutions, including route planning, fleet management, and customs compliance.","","","http://www.descartes.com","http://www.descartes.com/who-we-are/investor-relations","",""
"Digital Turbine","APPS","$1.78","$185,000,000","Sep 2024","$118,730,000","$474,920,000","-17.12%","0.39","103,932,584","2006","1998","Bill Stone, Rob Deutschman","Austin, Texas, United States","$6,130,000","$24,520,000","-60.15%","5.16%","-$24,990,000","-$99,960,000","84.53%","-21.05%","$32,760,000","-43.64%","J.P. Morgan Securities LLC, Stephens Inc.","$50 million","790","$601,200","Mobile app platform enabling app developers to reach users through personalized recommendations and targeted advertising.","","","http://www.digitalturbine.com","http://ir.digitalturbine.com","https://www.sec.gov/Archives/edgar/data/317788/000114420416130337/v451432_s1.htm","https://www.sec.gov/Archives/edgar/data/317788/000162828024025455/apps-20240331.htm"
"DigitalOcean","DOCN","$35.58","$3,287,000,000","Sep 2024","$198,480,000","$793,920,000","12.10%","4.14","92,383,361","2021","2011","Ben Uretsky, Moisey Uretsky, Jeff Carr, Alec Hartman, Mitch Wainer","New York City, United States","$62,040,000","$248,160,000","-14.03%","31.26%","$32,950,000","$131,800,000","71.83%","16.60%","$439,870,000","14.53%","Access Industries, Andreessen Horowitz, IA Ventures, Andreessen Horowitz Cultural Leadership Fund","$547 million","1230","$645,500","Virtual servers, web hosting, storage, and networking solutions for developers and businesses.","","","http://www.digitalocean.com","http://investors.digitalocean.com","https://www.sec.gov/Archives/edgar/data/1582961/000119312521055798/d898181ds1.htm","https://www.sec.gov/Archives/edgar/data/1582961/000158296124000031/docn-20231231.htm"
"Docebo","DCBO","$46.43","$2,015,000,000","Sep 2024","$55,430,000","$221,720,000","19.20%","9.09","43,398,665","2020","2005","Claudio Erba","Toronto, Ontario, Canada","$5,360,000","$21,440,000","399.35%","9.67%","$4,960,000","$19,840,000","22.54%","8.95%","$82,030,000","-51.93%","Klass Capital, Intercap Equity Inc.","$21 million","890","$249,100","Learning management system (LMS) for the creation, management, and delivery of online training and e-learning courses.","","","http://www.docebo.com","http://www.docebo.inc","",""
"DocuSign","DOCU","$94.85","$19,162,000,000","Oct 2024","$754,820,000","$3,019,280,000","7.77%","6.35","202,024,249","2018","2003","Tom Gonser, Court Lorenzini, Eric Ranft","San Francisco, California, United States","$71,920,000","$287,680,000","109.86%","9.53%","$62,420,000","$249,680,000","60.86%","8.27%","$942,380,000","-40.74%","Accel Partners, Bain Capital Ventures, Sigma Partners","$443 million","7540","$400,400","Electronic signature software","","","http://www.docusign.com","http://investor.docusign.com","https://www.sec.gov/Archives/edgar/data/1261333/000119312518099555/d506878ds1.htm","https://www.sec.gov/Archives/edgar/data/1261333/000126133324000045/docu-20240131.htm"
"Domo","DOMO","$7.07","$276,000,000","Oct 2024","$79,760,000","$319,040,000","0.11%","0.87","39,038,190","2018","2010","Josh James","American Fork, Utah, United States","-$10,640,000","-$42,560,000","2.98%","-13.34%","-$18,760,000","-$75,040,000","-14.31%","-23.52%","$40,920,000","-23.77%","Benchmark Capital, BlackRock, GGV Capital, Greylock Partners, IVP, TPG Growth","$690 million","990","$322,300","Business intelligence and data visualization.","","","http://www.domo.com","http://www.domoinvestors.com","https://www.sec.gov/Archives/edgar/data/1505952/000162828018007487/domoincs-1.htm","https://www.sec.gov/Archives/edgar/data/1505952/000150595224000015/domo-20240131.htm"
"Donnelley Financial Solutions","DFIN","$61.78","$1,783,000,000","Sep 2024","$179,500,000","$718,000,000","-0.28%","2.48","28,860,473","2016","1983","R.R. Donnelley & Sons Company","Chicago, Illinois, United States","$21,300,000","$85,200,000","-34.66%","11.87%","$8,700,000","$34,800,000","-51.93%","4.85%","$33,600,000","187.18%","Blackstone Group, Vista Equity Partners","N/A","2220","$323,400","Financial reporting, regulatory compliance, and financial data analytics.","","","http://www.dfinsolutions.com","http://investor.dfinsolutions.com","https://www.sec.gov/Archives/edgar/data/1669811/000119312517095623/d364339ds1.htm","https://www.sec.gov/Archives/edgar/data/1669811/000095017024017094/dfin-20231231.htm"
"DoubleVerify","DV","$19.76","$3,343,000,000","Sep 2024","$169,560,000","$678,240,000","17.77%","4.93","169,180,162","2021","2008","Oren Netzer, Eli Weissbuch","New York City, United States","$37,210,000","$148,840,000","28.56%","21.95%","$18,200,000","$72,800,000","36.37%","10.73%","$362,600,000","39.88%","Providence Equity Partners","$350 million","360","$1,884,000","Digital media measurement and analytics for digital advertising.","","","http://www.doubleverify.com","http://ir.doubleverify.com","https://www.sec.gov/Archives/edgar/data/1819928/000104746921000623/a2243008zs-1.htm","https://www.sec.gov/Archives/edgar/data/1819928/000155837024002008/dv-20231231x10k.htm"
"Doximity","DOCS","$58.27","$10,879,000,000","Sep 2024","$136,830,000","$547,320,000","20.44%","19.88","186,699,846","2021","2010","Jeff Tangney, Nate Gross","San Francisco, California, United States","$56,880,000","$227,520,000","31.73%","41.57%","$44,150,000","$176,600,000","44.28%","32.27%","$805,560,000","10.37%","Morgan Stanley, T. Rowe Price, Baillie Gifford","$319 million","980","$558,500","Healthcare collaboration, patient data management, and healthcare job opportunities.","","","http://www.doximity.com","http://investors.doximity.com","https://www.sec.gov/Archives/edgar/data/1516513/000162828021011269/doximity-sx1.htm","https://www.sec.gov/Archives/edgar/data/1516513/000151651324000035/docs-20240331.htm"
"Dropbox","DBX","$30.76","$9,527,000,000","Sep 2024","$638,800,000","$2,555,200,000","0.92%","3.73","309,720,416","2018","2007","Drew Houston, Arash Ferdowsi","San Francisco, California, United States","$163,100,000","$652,400,000","-6.21%","25.53%","$106,700,000","$426,800,000","-6.49%","16.70%","$890,800,000","-31.94%","Sequoia Capital, Accel Partners, Index Ventures","$1.7 billion","3210","$796,000","File storage and file synchronization application.","","","http://www.dropbox.com","http://dropbox.gcs-web.com","https://www.sec.gov/Archives/edgar/data/1467623/000119312518055809/d451946ds1.htm","https://www.sec.gov/Archives/edgar/data/1467623/000146762324000008/dbx-20231231.htm"
"Duolingo","DUOL","$340.39","$14,972,000,000","Sep 2024","$192,590,000","$770,360,000","39.94%","19.44","43,984,841","2021","2011","Luis von Ahn, Severin Hacker","Pittsburgh, Pennsylvania, United States","$16,950,000","$67,800,000","684.45%","8.80%","$23,360,000","$93,440,000","732.21%","12.13%","$880,760,000","25.51%","CapitalG, New Enterprise Associates and General Atlantic","$150 million","2100","$366,800","Language-learning platform that gamifies the process of acquiring new languages through interactive lessons and exercises.","","","http://www.duolingo.com","http://investors.duolingo.com/investor-relations","https://www.sec.gov/Archives/edgar/data/1562088/000162828021013065/duolingos-1.htm","https://www.sec.gov/Archives/edgar/data/1562088/000156208824000050/duol-20231231.htm"
"Dynatrace","DT","$55.07","$16,438,000,000","Sep 2024","$418,130,000","$1,672,520,000","18.89%","9.83","298,492,827","2019","2005","Bernd Greifeneder, Alois Reitbauer, Peter Putz","Waltham, Massachusetts, United States","$56,650,000","$226,600,000","26.25%","13.55%","$44,010,000","$176,040,000","22.90%","10.53%","$1,010,000,000","43.26%","Thoma Bravo","$168 million","4250","$393,500","Website and application performance monitoring software","","","http://www.dynatrace.com","http://ir.dynatrace.com","https://www.sec.gov/Archives/edgar/data/1773383/000119312519189566/d668054ds1.htm","https://www.sec.gov/Archives/edgar/data/1773383/000177338324000076/dt-20240331.htm"
"E2open","ETWO","$2.64","$815,000,000","Aug 2024","$152,190,000","$608,760,000","-3.97%","1.34","308,712,121","2020","2000","John Mumford, Srini Srinivasan","Austin, Texas, United States","$37,880,000","$151,520,000","44.07%","24.89%","-$29,860,000","-$119,440,000","14.36%","-19.62%","$142,160,000","27.11%","Sequoia Capital, Insight Partners","$300 million","4130","$147,400","Supply chain management solutions","","","http://www.e2open.com","http://investors.e2open.com","https://www.sec.gov/Archives/edgar/data/1800347/000104746920001294/a2240689zs-1.htm","https://www.sec.gov/Archives/edgar/data/1800347/000095017024049948/etwo-20240229.htm"
"eGain","EGAN","$5.40","$154,000,000","Sep 2024","$21,800,000","$87,200,000","-9.83%","1.77","28,518,519","1999","1997","Ashutosh Roy, Gunjan Sinha","Sunnyvale, California, United States","$602,000","$2,408,000","-60.47%","2.76%","$652,000","$2,608,000","-74.88%","2.99%","$67,200,000","-15.81%","Sequoia Capital, Technology Crossover Ventures","$60 million","710","$122,800","Customer engagement solutions, including AI-powered virtual assistants, knowledge management, and analytics.","","","http://www.egain.com","http://www.egain.com/company/investors/","","https://www.sec.gov/Archives/edgar/data/1066194/000155837024012767/egan-20240630x10k.htm"
"Elastic NV","ESTC","$103.62","$10,738,000,000","Oct 2024","$365,360,000","$1,461,440,000","17.63%","7.35","103,628,643","2018","2012","Shay Banon, Steven Schuurman, Simon Willnauer, and Uri Boness","Mountain View, California, United States","-$671,000","-$2,684,000","95.81%","-0.18%","-$25,450,000","-$101,800,000","-2.64%","-6.97%","$1,200,000,000","23.93%","Benchmark Capital, Index Ventures, New Enterprise Associates (NEA), Future Fund","$162 million","3100","$471,400","Open-source software suite that enables search, logging, and analytics.","","","http://www.elastic.co","http://ir.elastic.co","https://www.sec.gov/Archives/edgar/data/1707753/000119312518266861/d588632ds1.htm","https://www.sec.gov/Archives/edgar/data/1707753/000170775324000014/estc-20240430.htm"
"Eventbrite","EB","$3.55","$344,000,000","Sep 2024","$77,800,000","$311,200,000","-4.59%","1.11","96,901,408","2018","2006","Kevin Hartz, Julia Hartz, Renaud Visage","San Francisco, California, United States","-$1,270,000","-$5,080,000","85.01%","-1.63%","-$3,770,000","-$15,080,000","62.07%","-4.85%","$555,620,000","-22.83%","T. Rowe Price, Tiger Global Management, Sequoia Capital","$330 million","900","$345,800","Event management platform that allows users to create, promote, and sell tickets for events online.","","","http://www.eventbrite.com","http://investor.eventbrite.com","https://www.sec.gov/Archives/edgar/data/1475115/000119312518255960/d593770ds1.htm","https://www.sec.gov/Archives/edgar/data/1475115/000147511524000042/eb-20231231.htm"
"EverCommerce","EVCM","$11.53","$2,116,000,000","Sep 2024","$176,260,000","$705,040,000","0.87%","3.00","183,521,249","2021","2012","Eric Remer, Amber Remer","Denver, Colorado, United States","$21,660,000","$86,640,000","15.41%","12.29%","-$9,160,000","-$36,640,000","-1391.21%","-5.20%","$101,570,000","16.30%","Providence Equity Partners","$241 million","2410","$292,500","Marketing and business management platform for service-based industries.","","","http://www.evercommerce.com","http://investors.evercommerce.com","https://www.sec.gov/Archives/edgar/data/1853145/000114036121019260/nt10022251x4_s1.htm","https://www.sec.gov/Archives/edgar/data/1853145/000185314524000026/evcm-20231231.htm"
"Exela Technologies","XELA","$1.10","$31,000,000","Sep 2024","$269,170,000","$1,076,680,000","6.34%","0.03","28,181,818","2015","2017","Ronald C. Cogburn, Vikram D. Verma","Irving, Texas, United States","$13,210,000","$52,840,000","-19.75%","4.91%","-$24,020,000","-$96,080,000","-3.96%","-8.92%","$11,280,000","83.62%","Cannae Holdings, LLC, RRJ Capital Master Fund III, L.P.","$1.5 billion","15400","$69,900","Document management, workflow automation, and data analytics.","","","http://www.exelatech.com","http://investors.exelatech.com","https://www.sec.gov/Archives/edgar/data/1620179/000121390014006936/d31687.htm","https://www.sec.gov/Archives/edgar/data/1620179/000155837024004674/xela-20231231x10k.htm"
"Expensify","EXFY","$3.52","$313,000,000","Sep 2024","$35,410,000","$141,640,000","-2.97%","2.21","88,920,455","2021","2008","David Barrett","San Francisco, California, United States","$486,000","$1,944,000","103.33%","1.37%","-$2,200,000","-$8,800,000","87.07%","-6.21%","$39,170,000","-56.04%","OpenView Venture Partners, Redpoint Ventures","$38.9 million","140","$1,011,700","Expense management application that automates expense reporting, receipt tracking, and reimbursement processes.","","","http://www.expensify.com","http://ir.expensify.com","https://www.sec.gov/Archives/edgar/data/1476840/000162828021020115/expensifys-1.htm","https://www.sec.gov/Archives/edgar/data/1476840/000147684024000016/exfy-20231231.htm"
"F5 Networks","FFIV","$256.20","$15,017,000,000","Sep 2024","$746,670,000","$2,986,680,000","5.62%","5.03","58,614,364","1999","1996","Judith A. Estrin, Jeffrey S. Hussey, Alan J. Higginson, Michael L. Malcolm","Seattle, Washington, United States","$213,950,000","$855,800,000","6.30%","28.65%","$165,300,000","$661,200,000","8.65%","22.14%","$1,070,000,000","33.77%","Sequoia Capital, Madrona Venture Group","$10 million","7220","$413,700","Application delivery and security solutions, including load balancing, traffic management, and application security.","","","http://www.f5.com","http://investors.f5.com","","https://www.sec.gov/Archives/edgar/data/1048695/000104869524000185/ffiv-20240930.htm"
"Fastly","FSLY","$10.04","$1,409,000,000","Sep 2024","$137,210,000","$548,840,000","7.35%","2.57","140,338,645","2019","2011","Artur Bergman, Simon Wistow, and Gil Penchina","San Francisco, California, United States","-$16,160,000","-$64,640,000","59.20%","-11.78%","-$38,020,000","-$152,080,000","30.00%","-27.71%","$308,250,000","-28.04%","August Capital, Battery Ventures, Iconiq Capital, O'Reilly AlphaTech Ventures, Amplify Partners","$219 million","1150","$477,300","Enterprise content delivery network (CDN).","","","http://www.fastly.com","http://investors.fastly.com","https://www.sec.gov/Archives/edgar/data/1517413/000119312519111675/d702138ds1.htm","https://www.sec.gov/Archives/edgar/data/1517413/000151741324000048/fsly-20231231.htm"
"FiscalNote Holdings","NOTE","$1.17","$169,000,000","Sep 2024","$29,440,000","$117,760,000","-13.44%","1.44","144,444,444","2022","2013","Timothy Hwang, Gerald Yao, Jonathan Chen","Washington, D.C., United States","-$4,070,000","-$16,280,000","62.30%","-13.82%","-$14,940,000","-$59,760,000","-3.23%","-50.75%","$32,730,000","38.67%","Revolution Growth, Renren, Green Visor Capital","$30 million","820","$143,600","Helps organizations track and analyze government regulations and policies.","","","http://www.fiscalnote.com","http://investors.fiscalnote.com","https://www.sec.gov/Archives/edgar/data/1823466/000095010320019390/dp137951_s1.htm","https://www.sec.gov/Archives/edgar/data/1823466/000095017024031826/note-20231231.htm"
"Five9","FIVN","$42.39","$3,188,000,000","Sep 2024","$264,180,000","$1,056,720,000","14.81%","3.02","75,206,417","2014","2001","Wendell R. Anderson, Brian Silverman, David T. Van Everen","San Ramon, California, United States","$7,320,000","$29,280,000","155.23%","2.77%","-$4,480,000","-$17,920,000","78.06%","-1.70%","$966,660,000","38.04%","Sapphire Ventures, Bessemer Venture Partners","$74 million","2480","$426,100","Contact center software that offers features like omnichannel routing, workforce optimization, and AI-powered virtual agents.","","","http://www.five9.com","http://investors.five9.com","https://www.sec.gov/Archives/edgar/data/1288847/000119312514078791/d626745ds1.htm","https://www.sec.gov/Archives/edgar/data/1288847/000128884724000012/fivn-20231231.htm"
"Fortinet","FTNT","$97.81","$74,967,000,000","Sep 2024","$1,510,000,000","$6,040,000,000","13.00%","12.41","766,455,373","2009","2000","Ken Xie, Michael Xie, and Yan Kei-Ming","Sunnyvale, California, United States","$499,600,000","$1,998,400,000","51.21%","33.09%","$539,900,000","$2,159,600,000","67.20%","35.75%","$3,700,000,000","16.79%","Redpoint Ventures, Meritech Capital Partners, Acorn Campus Ventures","$93 million","12900","$468,200","Cybersecurity solutions, including firewalls, VPNs, and antivirus software.","","","http://www.fortinet.com","http://investor.fortinet.com","https://www.sec.gov/Archives/edgar/data/1262039/000119312509169817/ds1.htm","https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/ftnt-20231231.htm"
"Freshworks","FRSH","$15.90","$4,815,000,000","Sep 2024","$186,580,000","$746,320,000","21.51%","6.45","302,830,189","2021","2010","Girish Mathrubootham, Shan Krishnasamy","San Mateo, California, United States","-$33,940,000","-$135,760,000","8.47%","-18.19%","-$29,960,000","-$119,840,000","3.46%","-16.06%","$1,050,000,000","-9.42%","Accel, Tiger Global Management, Sequoia Capital","$400 million","5560","$134,200","Customer engagement tools, including customer support, CRM, and marketing automation.","","","http://www.freshworks.com","http://ir.freshworks.com","https://www.sec.gov/Archives/edgar/data/1544522/000162828021017717/freshworkss-1.htm","https://www.sec.gov/Archives/edgar/data/1544522/000154452224000012/frsh-20231231.htm"
"Gen Digital","GEN","$27.85","$17,161,000,000","Sep 2024","$974,000,000","$3,896,000,000","3.07%","4.40","616,193,896","1989","1982","Gary Hendrix, Anthony Antonuccio","Tempe, Arizona, United States","$477,000,000","$1,908,000,000","5.30%","48.97%","$161,000,000","$644,000,000","9.52%","16.53%","$737,000,000","17.17%","Snowden Capital Advisors, Brewin Dolphin","N/A","4000","$974,000","Cybersecurity and identity theft protection software and services to consumers and businesses","","","http://www.gendigital.com","http://investor.gendigital.com","","https://www.sec.gov/Archives/edgar/data/849399/000084939924000036/gen-20240329.htm"
"Genius Sports","GENI","$8.72","$2,002,000,000","Sep 2024","$120,200,000","$480,800,000","18.16%","4.16","229,587,156","2021","2000","Mark Locke, William MacMullan","London, England","$3,250,000","$13,000,000","-2.16%","2.70%","$12,500,000","$50,000,000","207.65%","10.40%","$42,310,000","-54.00%","Apax Partners, Brunswick Capital, Three Hills Capital Partners","$1.5 billion","2170","$221,600","Sports data and other solutions for sports leagues, teams, and sports media organizations.","","","http://www.geniussports.com","http://investors.geniussports.com","",""
"GitLab","GTLB","$60.45","$9,811,000,000","Oct 2024","$196,050,000","$784,200,000","30.99%","12.51","162,299,421","2021","2011","Sid Sijbrandij, Dmitriy Zaporozhets","San Francisco, California, United States","-$27,920,000","-$111,680,000","28.60%","-14.24%","$29,560,000","$118,240,000","110.37%","15.08%","$916,970,000","-7.34%","Sequoia Capital, Khosla Ventures, Google Ventures","$426 million","2250","$348,500","Version control, CI/CD pipelines, issue tracking, and collaboration tools for developers.","","","http://www.gitlab.com","http://ir.gitlab.com","https://www.sec.gov/Archives/edgar/data/1653482/000162828021018818/gitlab-sx1.htm","https://www.sec.gov/Archives/edgar/data/1653482/000162828024012963/gtlb-20240131.htm"
"Godaddy","GDDY","$206.74","$29,025,000,000","Sep 2024","$1,150,000,000","$4,600,000,000","7.28%","6.31","140,393,731","2015","1997","Bob Parsons","Scottsdale, Arizona, United States","$287,100,000","$1,148,400,000","32.86%","24.97%","$190,500,000","$762,000,000","45.75%","16.57%","$852,500,000","57.72%","KKR, Silver Lake Partners, Technology Crossover Ventures","$2.2 billion","10000","$460,000","Domain registration, web hosting, and online marketing services, enabling individuals and businesses to establish and grow their online presence","","","http://www.godaddy.com","http://aboutus.godaddy.net/investor-relations","https://www.sec.gov/Archives/edgar/data/1609711/000119312514230425/d728713ds1.htm","https://www.sec.gov/Archives/edgar/data/1609711/000160971124000022/gddy-20231231.htm"
"Guidewire Software","GWRE","$174.62","$14,584,000,000","Oct 2024","$262,900,000","$1,051,600,000","26.76%","13.87","83,518,497","2012","2001","Marcus Ryu, Ken Branson, John Raguin","San Mateo, California, United States","$1,120,000","$4,480,000","104.02%","0.43%","$9,140,000","$36,560,000","133.76%","3.48%","$1,340,000,000","87.72%","Bain Capital Ventures, U.S. Venture Partners, Battery Ventures","$65 million","3510","$299,600","Solutions for the insurance industry, including claims management, policy administration, and billing.","","","http://www.guidewire.com","http://ir.guidewire.com","https://www.sec.gov/Archives/edgar/data/1528396/000119312511240194/ds1.htm","https://www.sec.gov/Archives/edgar/data/1528396/000152839624000105/gwre-20240731.htm"
"HashiCorp","HCP","$34.24","$7,000,000,000","Oct 2024","$173,390,000","$693,560,000","18.66%","10.09","204,439,252","2021","2012","Mitchell Hashimoto, Armon Dadgar","San Francisco, California, United States","-$26,410,000","-$105,640,000","50.04%","-15.23%","-$13,010,000","-$52,040,000","67.05%","-7.50%","$1,350,000,000","7.23%","GGV Capital, IVP (Institutional Venture Partners), Mayfield Fund","$349 million","2500","$277,400","Open-source tools and commercial products for cloud infrastructure automation, including Terraform, Vault, Consul, and Nomad sub-brands.","","","http://www.hashicorp.com","http://ir.hashicorp.com","https://www.sec.gov/Archives/edgar/data/1720671/000119312521319849/d205906ds1.htm","https://www.sec.gov/Archives/edgar/data/1720671/000162828024012350/hcp-20240131.htm"
"Health Catalyst","HCAT","$6.90","$420,000,000","Sep 2024","$76,350,000","$305,400,000","3.50%","1.38","60,869,565","2019","2008","Steven C. Barlow, Thomas D. Burton, Dale Sanders, Paul Horstmeier","Salt Lake City, Utah, United States","-$4,720,000","-$18,880,000","67.11%","-6.18%","-$14,730,000","-$58,920,000","33.16%","-19.29%","$387,260,000","11.38%","OrbiMed Advisors, Sequoia Capital, Norwest Venture Partners, Sands Capital Ventures","$377 million","1240","$246,300","Healthcare analytics platform to help organizations improve patient outcomes and reduce costs.","","","http://www.healthcatalyst.com","http://ir.healthcatalyst.com","https://www.sec.gov/Archives/edgar/data/1636422/000162828019008426/healthcatalysts-1.htm","https://www.sec.gov/Archives/edgar/data/1636422/000163642224000016/hcat-20231231.htm"
"HubSpot","HUBS","$721.36","$37,239,000,000","Sep 2024","$669,720,000","$2,678,880,000","20.12%","13.90","51,623,323","2014","2006","Brian Halligan, Dharmesh Shah","Cambridge, Massachusetts, United States","-$4,640,000","-$18,560,000","52.71%","-0.69%","$8,150,000","$32,600,000","327.73%","1.22%","$1,940,000,000","21.35%","General Catalyst, Matrix Partners","$100 million","7290","$367,500","Large variety of tools for marketing, sales, and customer service, both SMB and Enterprise focused.","","","http://www.hubspot.com","http://ir.hubspot.com","https://www.sec.gov/Archives/edgar/data/1404655/000119312514320044/d697256ds1.htm","https://www.sec.gov/Archives/edgar/data/1404655/000095017024015277/hubs-20231231.htm"
"Informatica","INFA","$26.93","$8,224,000,000","Sep 2024","$422,480,000","$1,689,920,000","3.41%","4.87","305,384,330","2021","1993","Gaurav Dhillon, Diaz Nesamoney, and Sanjay Poonen","Redwood City, California, United States","$86,240,000","$344,960,000","21.20%","20.41%","-$13,980,000","-$55,920,000","-117.64%","-3.31%","$1,240,000,000","42.69%","Silver Lake Partners, Microsoft","$71 million","6150","$274,800","Data integration and data management solutions.","","","http://www.informatica.com","http://investors.informatica.com","https://www.sec.gov/Archives/edgar/data/1868778/000119312521300476/d169828ds1a.htm","https://www.sec.gov/Archives/edgar/data/1868778/000186877824000006/infa-20231231.htm"
"Integral Ad Science","IAS","$10.36","$1,685,000,000","Sep 2024","$133,530,000","$534,120,000","10.97%","3.15","162,644,788","2021","2009","Scott Knoll, Will Luttrell","New York City, New York, United States","$27,260,000","$109,040,000","28.13%","20.41%","$16,090,000","$64,360,000","217.02%","12.05%","$57,080,000","-38.12%","August Capital, Sapphire Ventures","$116 million","860","$621,100","Digital ad verification and distribution solutions geared at brand safety, viewability, and ad fraud detection.","","","http://www.integralads.com","http://investors.integralads.com","https://www.sec.gov/Archives/edgar/data/1842718/000119312521181985/d35256ds1.htm","https://www.sec.gov/Archives/edgar/data/1842718/000184271824000013/ias-20231231.htm"
"Intellicheck","IDN","$2.77","$55,000,000","Sep 2024","$4,710,000","$18,840,000","-1.07%","2.92","19,855,596","1999","1994","William Roof","Melville, New York, United States","-$780,000","-$3,120,000","5.34%","-16.56%","-$837,000","-$3,348,000","-15.61%","-17.77%","$5,750,000","-35.50%","Crosslink Capital, Hudson Bay Capital Management","$15 million","60","$314,000","Identity verification solutions, including ID authentication, age verification, and fraud prevention.","","","http://www.intellicheck.com","http://www.intellicheck.com/investors","https://www.sec.gov/Archives/edgar/data/1040896/000114420414075072/v396872_s1.htm","https://www.sec.gov/Archives/edgar/data/1040896/000162828024013949/idn-20231231.htm"
"Intuit","INTU","$645.29","$180,628,000,000","Oct 2024","$3,280,000,000","$13,120,000,000","10.24%","13.77","279,917,556","1993","1983","Scott Cook, Tom Proulx","Mountain View, California, United States","$444,000,000","$1,776,000,000","-3.48%","13.54%","$197,000,000","$788,000,000","-18.26%","6.01%","$3,360,000,000","47.86%","Sequoia Capital","$1.3 million","9500","$1,381,100","Main application is QuickBooks, a financial management tool for accounting, invoicing, and tax preparation.","","","http://www.intuit.com","http://investors.intuit.com","","https://www.sec.gov/Archives/edgar/data/896878/000089687824000039/intu-20240731.htm"
"Jamf","JAMF","$14.64","$1,880,000,000","Sep 2024","$159,290,000","$637,160,000","11.68%","2.95","128,415,301","2020","2002","Zach Halmstad, Chip Pearson","Minneapolis, Minnesota, United States","-$2,860,000","-$11,440,000","82.29%","-1.80%","-$12,240,000","-$48,960,000","62.08%","-7.68%","$218,430,000","-4.04%","Vista Equity Partners","$49 million","2910","$219,000","Apple device management software that helps organizations manage and secure their Apple devices, with features like device deployment, inventory management, and security controls.","","","http://www.jamf.com","http://ir.jamf.com","https://www.sec.gov/Archives/edgar/data/1721947/000104746920003905/a2241939zs-1.htm","https://www.sec.gov/Archives/edgar/data/1721947/000162828024007212/jamf-20231231.htm"
"Jfrog","FROG","$30.49","$3,402,000,000","Sep 2024","$109,060,000","$436,240,000","23.04%","7.80","111,577,566","2020","2008","Shlomi Ben Haim, Yoav Landman, Fred Simon, Asaf Yigal","Sunnyvale, California, United States","-$20,580,000","-$82,320,000","-59.34%","-18.87%","-$22,940,000","-$91,760,000","-66.91%","-21.03%","$467,790,000","-6.85%","Battery Ventures, Sapphire Ventures","$227 million","1350","$323,100","DevOps platform for developers to manage and distribute software packages.","","","http://www.jfrog.com","http://investors.jfrog.com","https://www.sec.gov/Archives/edgar/data/1800667/000119312520228195/d841831ds1.htm","https://www.sec.gov/Archives/edgar/data/1800667/000095017024015873/frog-20231231.htm"
"Kaltura","KLTR","$2.33","$349,000,000","Sep 2024","$44,300,000","$177,200,000","1.73%","1.97","149,785,408","2021","2006","Ron Yekutiel, Shay David, Eran Etam","New York City, United States","-$3,220,000","-$12,880,000","54.40%","-7.27%","-$3,610,000","-$14,440,000","66.34%","-8.15%","$77,710,000","12.37%","Morgan Stanley, SAP, Goldman Sachs","$166 million","700","$253,100","Video platform for managing, creating, and distributing video content.","","","http://www.kaltura.com","http://investors.kaltura.com","https://www.sec.gov/Archives/edgar/data/1432133/000162828021003617/kalturas-1.htm","https://www.sec.gov/Archives/edgar/data/1432133/000143213324000088/kltr-20231231.htm"
